college_code,college_name,course_count,min_rank,max_rank,avg_rank
E005,R. V. College of Engineering Bangalore,14,93,178724,38937.356056633456
E014,S J C Institute of Technology Chickballapur,18,450,183152,58950.53857245854
E008,Bangalore Institute of Technology Bangalore,20,476,182606,34573.46278511405
E056,The National Institute of Engineering Mysore,16,498,182781,49746.90909090909
E048,"B M S College of Engineering Basavanagudi,Bangalore",15,898,183210,83719.3447265625
E029,Maratha Mandal Engineering College Belgaum,14,1064,183186,71997.2197080292
E061,University B.D.T. college of Engineering Davangere,18,1638,182487,49391.183946488294
E146,"Shreedevi Institute of Technology Kenjar, Mangalore",15,1746,183157,87176.42935982339
E018,Kalpatharu Institute of Technology Tiptur,18,3248,183204,73396.37263726373
E129,St. Joseph Engineering College Mangalore,12,3273,183168,67094.56322957198
E255,Gitam School Of Technology BANGALORE RURAL DIST,17,3768,183210,65101.79654859219
E284,Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.) Mysore,15,3966,182446,89514.28504233302
E108,Sapthagiri College of Engineering Bangalore,12,4239,181869,61953.95092460882
E123,Canara Engineering College Bantwal DK DIST,11,5086,182554,74828.80615384615
E036,KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.) Belgaum,11,5252,182574,68391.83806818182
E103,Global Academy of Technology Bangalore,12,6191,183132,72416.03495934959
E079,Acharya Institute of Technology Bangalore,11,8096,182795,70071.20490367776
E086,"Sri Sairam College of Engineering(Formerly Shirdi Sai Engg) Anekal,Bangalore",14,8153,183072,73248.1665158371
E043,Gurunanak Dev Engineering College Bidar,13,8157,183168,79168.45655737705
E099,New Horizon College of Engineering Bangalore,14,8374,182085,74422.58407079647
E238,Mysuru Royal Institute of Technology Mandya (D),26,9731,182622,76992.29984662577
E183,Sha-Shib College of Engineering Chickballapur,7,10464,182899,91635.19339622642
E232,Reva University Bangalore,13,11291,183179,78847.45476477683
E217,Girijabai Sail Institute of Technology Majali Village Karwar,8,11432,183057,82245.48511166254
E070,"Bahubali College of Engineering Hassan Dist,",13,11889,183207,75923.49851851852
E166,K L E Institute of Technology Hubli,12,13352,183026,83980.7887537994
E139,Impact College of Engineering and Applied Sciences Bangalore,9,16108,182474,88830.44544287548
E094,Coorg Institute of Technology Kodagu,8,19551,182716,89061.42181818181
E201,"Gopalan College of Engineering and Management White Field, Bangalore",7,19679,183210,103087.67067669173
E153,S E A College of Engineering and Technology K R puram bangalore,12,19951,182875,78531.62891809909
E173,Sai Vidya Institute of Technology Bangalore,11,20145,183022,91166.7804583836
E160,Sahyadri College of Engg. and Management Mangalore,10,20808,183207,87194.56126126126
E115,"S J B Institute of Technology Kengeri,Bangalore",11,23787,183089,88905.10726643598
E208,Achutha Institute of Technology Bangalore,11,25979,182794,96079.38037634408
E272,"Government Engineering College Talakal,Koppal",15,26113,181112,87028.68225419664
E191,Akshaya Institute of Technology Tumkur,11,33673,183204,106631.03542234332
