course_code,course_name,college_count,min_rank,max_rank,avg_rank
CS,Computers,36,93,183160,57117.191348088534
IE,Info.Science,31,158,182474,52274.08724832215
AI,"Artificial
Intelligence",29,209,183200,65696.35230352303
EC,Electronics,36,440,183157,78576.83401797176
CA,CS,17,599,179418,62304.48558421851
CY,CS,5,904,175432,55479.01075268817
AD,"Artificial
Intel",15,1004,182741,73610.49127516779
EE,Electrical,35,1028,183179,85598.91564147627
ET,"Elec.
Telecommn. Engg.",7,1299,178815,51990.721448467964
SE,"Aero Space
Engg.",8,1423,170952,58535.49642857143
EI,"Elec. Inst.
Engg",10,2188,181152,73566.50724637682
BT,Bio Technology,13,2503,178217,51398.64195298372
ME,Mechanical,36,2851,183210,110856.63674698795
CH,Chemical,9,3079,181635,75692.52788104089
CD,"Computer Sc.
and Design",11,3250,181871,75039.10051546391
CB,"Comp. Sc. and
Bus Sys.",5,3651,179907,53480.33939393939
CF,CS,2,4879,170731,51910.565217391304
AE,Aeronaut.Engg,15,7894,183152,85531.55835962146
DS,Comp. Sc. Engg,11,8647,175176,71801.76108374384
IM,"Ind. Engg.
Mgmt.",4,9196,180691,79608.09478672985
CC,"Computer and
Comm. Engg.",2,10102,181112,68460.42647058824
CE,Civil,36,10651,183210,110072.01884740849
CO,"Computer
Engineering",2,12410,178716,73228.31182795699
MD,Med.Elect.,4,12744,182606,65601.7205882353
RI,Robotics and AI,3,15072,183200,88719.73846153847
II,EC,1,17022,119276,47797.73684210526
CI,"Computer and
Information",1,18558,76077,41429.31481481482
EL,Electronics,1,18603,159189,59868.944444444445
RO,"Auto. And
Robot.",2,19103,181732,88306.84090909091
CG,"Computer
Science and Tech",2,20740,171868,64216.34090909091
SS,"CS and System
Engg",1,23067,139307,54707.256410256414
ES,"Electronics and
Computer",2,26434,174657,89283.69696969698
RA,"Robotics and
Automation",6,26735,182873,96865.55974842767
RB,Robotics,1,28694,161806,84100.96551724138
TC,Telecommn.,1,31873,176140,76623.67857142857
BE,Bio,1,34661,173139,89369.65217391304
ER,"Electrical and
Computer",1,34903,173135,94072.70588235294
IS,"Information Sc.
and Tech.",1,36647,153520,67485.66666666667
BM,Bio Medical,3,37120,181601,97285.84210526316
BD,CS,1,39941,177188,68332.67647058824
ST,Silk Tech.,1,42349,162494,84504.37931034483
IG,"Information
Technology",2,43050,174038,85105.12676056338
AU,Automobile,5,45305,183072,119438.51388888889
MT,Mechatronics,5,46305,180743,114994.94642857143
EA,"Agriculture
Engineering",3,46689,179889,105679.55844155845
LC,CS,1,47508,137266,84643.09090909091
OP,Comp. Sc. Engg,1,49687,161691,81784.58064516129
TX,Textiles,3,49909,176674,109304.41666666667
IC,CS,2,50682,178163,97292.03636363636
BS,B.Sc,16,53342,183186,134867.48245614034
EN,Environmental,1,53490,181069,114389.85185185185
CT,"Const. Tech.
Mgmt.",1,55351,172809,124646.11764705883
IO,CS,2,55879,182216,104423.44262295082
UP,Planning,1,56105,179667,110286.17647058824
IP,Ind.Prodn.,6,61286,183060,123956.54248366013
PL,"Petroleum
Engineering",1,62029,174511,128195.63157894737
MC,"Mathamatics and
Computing",1,65656,179459,125883.27777777778
MM,Mechanical,2,68510,182813,128067.725
AT,"Automotive
Engg.",1,85669,176840,139224.2857142857
CV,"Civil
Environment Engg",1,102045,178476,150900.0
BR,"BioMed. and
Robotic Engg",1,103701,178476,141684.18181818182
PT,Polymer Tech.,1,115310,178884,148577.66666666666
MR,"Marine
Engineering",2,128875,181910,160006.85714285713
MN,"Mining
Engineering",1,148475,180140,166158.0909090909
CK,Civil Engg,2,155349,182022,168921.33333333334
OT,Industrial IOT,2,163547,182139,176012.7142857143
CR,Ceramics,1,165385,177974,171644.0
EG,"Energy
Engineering",1,183024,183024,183024.0
