college_code,college_name,course_code,course_name,category_code,category_description,cutoff_rank,year,round,category_type
E005,R. V. College of Engineering Bangalore,AI,"Artificial
Intelligence",1G,Group 1 - General,1402,2024,1,General
E005,R. V. College of Engineering Bangalore,AI,"Artificial
Intelligence",1G,Group 1 - General,1402,2024,2,General
E005,R. V. College of Engineering Bangalore,AI,"Artificial
Intelligence",1G,Group 1 - General,1402,2024,3,General
E005,R. V. College of Engineering Bangalore,AI,"Artificial
Intelligence",1G,Group 1 - General,7512,2024,1,General
E005,R. V. College of Engineering Bangalore,AI,"Artificial
Intelligence",1G,Group 1 - General,9493,2024,2,General
E005,R. V. College of Engineering Bangalore,AI,"Artificial
Intelligence",1G,Group 1 - General,19290,2024,3,General
E005,R. V. College of Engineering Bangalore,AI,"Artificial
Intelligence",2AG,Group 2A - General,628,2024,1,General
E005,R. V. College of Engineering Bangalore,AI,"Artificial
Intelligence",2AG,Group 2A - General,799,2024,2,General
E005,R. V. College of Engineering Bangalore,AI,"Artificial
Intelligence",2AG,Group 2A - General,2161,2024,3,General
E005,R. V. College of Engineering Bangalore,AI,"Artificial
Intelligence",2AG,Group 2A - General,5887,2024,1,General
E005,R. V. College of Engineering Bangalore,AI,"Artificial
Intelligence",2AG,Group 2A - General,7417,2024,2,General
E005,R. V. College of Engineering Bangalore,AI,"Artificial
Intelligence",2AG,Group 2A - General,10208,2024,3,General
E005,R. V. College of Engineering Bangalore,AI,"Artificial
Intelligence",2AK,Group 2A - Kannada Medium,19828,2024,1,General
E005,R. V. College of Engineering Bangalore,AI,"Artificial
Intelligence",2AK,Group 2A - Kannada Medium,23070,2024,2,General
E005,R. V. College of Engineering Bangalore,AI,"Artificial
Intelligence",2AK,Group 2A - Kannada Medium,23070,2024,3,General
E005,R. V. College of Engineering Bangalore,AI,"Artificial
Intelligence",2AR,Group 2A - Rural,2293,2024,1,General
E005,R. V. College of Engineering Bangalore,AI,"Artificial
Intelligence",2AR,Group 2A - Rural,2293,2024,2,General
E005,R. V. College of Engineering Bangalore,AI,"Artificial
Intelligence",2AR,Group 2A - Rural,2422,2024,3,General
E005,R. V. College of Engineering Bangalore,AI,"Artificial
Intelligence",2AR,Group 2A - Rural,14622,2024,1,General
E005,R. V. College of Engineering Bangalore,AI,"Artificial
Intelligence",2AR,Group 2A - Rural,14622,2024,2,General
E005,R. V. College of Engineering Bangalore,AI,"Artificial
Intelligence",2AR,Group 2A - Rural,14859,2024,3,General
E005,R. V. College of Engineering Bangalore,AI,"Artificial
Intelligence",2BG,Group 2B - General,650,2024,1,General
E005,R. V. College of Engineering Bangalore,AI,"Artificial
Intelligence",2BG,Group 2B - General,1075,2024,2,General
E005,R. V. College of Engineering Bangalore,AI,"Artificial
Intelligence",2BG,Group 2B - General,1075,2024,3,General
E005,R. V. College of Engineering Bangalore,AI,"Artificial
Intelligence",2BG,Group 2B - General,7098,2024,1,General
